Location,Link,Price (€),Area (m²),Hab
"Parc d'Alba, Cerdanyola del Vallès",https://www.idealista.com/obra-nueva/106812185/inmueble/108910568/,365000 ,80 ,2 
"Parc d'Alba, Cerdanyola del Vallès",https://www.idealista.com/obra-nueva/106812185/inmueble/107649177/,444000 ,123 ,3 
"Parc d'Alba, Cerdanyola del Vallès",https://www.idealista.com/obra-nueva/106812185/inmueble/107249491/,568000 ,164 ,4 
Molins de Rei,https://www.idealista.com/obra-nueva/108691898/inmueble/108694497/,285000 ,75 ,3 
Molins de Rei,https://www.idealista.com/obra-nueva/108691898/inmueble/108694464/,380000 ,97 ,3 
Molins de Rei,https://www.idealista.com/obra-nueva/108691898/inmueble/108948324/,385000 ,88 ,4 
"Can Tintorer - Can Pere Boir - Can Tries, Gavà",https://www.idealista.com/obra-nueva/108769077/inmueble/108840075/,291000 ,57 ,1 
"Can Tintorer - Can Pere Boir - Can Tries, Gavà",https://www.idealista.com/obra-nueva/108769077/inmueble/108840217/,295000 ,57 ,1 
"Can Tintorer - Can Pere Boir - Can Tries, Gavà",https://www.idealista.com/obra-nueva/108769077/inmueble/108840210/,398000 ,80 ,2 
"Can Tintorer - Can Pere Boir - Can Tries, Gavà",https://www.idealista.com/obra-nueva/108769077/inmueble/108840209/,419000 ,95 ,2 
"Can Tintorer - Can Pere Boir - Can Tries, Gavà",https://www.idealista.com/obra-nueva/108769077/inmueble/108840095/,598000 ,128 ,3 
"Can Tintorer - Can Pere Boir - Can Tries, Gavà",https://www.idealista.com/obra-nueva/108769077/inmueble/108840452/,139000 ,N/A,N/A
"Mas Rampinyo - Carrerada, Montcada i Reixac",https://www.idealista.com/obra-nueva/104743146/inmueble/108731166/,293800 ,110 ,3 
"Mas Rampinyo - Carrerada, Montcada i Reixac",https://www.idealista.com/obra-nueva/104743146/inmueble/108731145/,308300 ,114 ,3 
"Mas Rampinyo - Carrerada, Montcada i Reixac",https://www.idealista.com/obra-nueva/104743146/inmueble/108463696/,402700 ,130 ,4 
"Mas Rampinyo - Carrerada, Montcada i Reixac",https://www.idealista.com/obra-nueva/104743146/inmueble/105830341/,80800 ,N/A,N/A
"Mas Rampinyo - Carrerada, Montcada i Reixac",https://www.idealista.com/obra-nueva/104743146/inmueble/105830346/,97600 ,N/A,N/A
"Mas Rampinyo - Carrerada, Montcada i Reixac",https://www.idealista.com/obra-nueva/104743146/inmueble/105830313/,113200 ,N/A,N/A
